Stock,Q1 2017 date,Q1 2017 Est,Q1 2017 Act,Q2 2017 date,Q2 2017 Est,Q2 2017 Act,Q3 2017 date,Q3 2017 Est,Q3 2017 Act,Q4 2017 date,Q4 2017 Est,Q4 2017 Act,Q1 2018 date,Q1 2018 Est,Q1 2018 Act,Q2 2018 date,Q2 2018 Est,Q2 2018 Act,Q3 2018 date,Q3 2018 Est,Q3 2018 Act,Q4 2018 date,Q4 2018 Est,Q4 2018 Act
PRU,2017-02-08 21:00:00,2.32,2.46,2017-05-03 20:00:00,2.64,2.79,2017-08-02 20:00:00,2.7,2.09,2017-11-01 20:00:00,2.71,3.01,2018-02-07 21:00:00,2.65,2.69,2018-05-02 00:00:00,2.98,3.08,2018-08-01 00:00:00,3.07,3.01,2018-11-07 00:00:00,3.16,3.15
PSA,2017-02-22 21:00:00,1.89,2.03,2017-04-26 20:00:00,1.65,1.62,2017-07-26 23:00:00,1.8,1.59,2017-10-25 23:00:00,1.88,1.61,2018-02-20 10:59:00,1.98,1.92,2018-04-25 00:00:00,1.67,1.65,2018-08-01 00:00:00,1.83,2,2018-10-30 00:00:00,1.85,1.85
PSX,2017-02-03 07:00:00,0.4,0.16,2017-04-28 12:30:00,0.05,0.56,2017-08-01 12:30:00,1.01,1.09,2017-10-27 12:30:00,1.57,1.66,2018-02-02 13:30:00,0.86,1.07,2018-04-27 00:00:00,0.89,1.04,2018-07-27 00:00:00,2.19,2.8,2018-10-26 00:00:00,2.48,3.1
PVH,2017-03-22 20:00:00,1.19,1.23,2017-05-24 20:00:00,1.6,1.65,2017-08-23 20:00:00,1.64,1.69,2017-11-29 21:00:00,2.91,3.02,2018-03-28 00:00:00,1.47,1.58,2018-05-30 00:00:00,2.25,2.36,2018-08-29 00:00:00,2.1,2.18,2018-11-29 00:00:00,3.14,3.21
PWR,2017-02-21 13:30:00,0.56,0.56,2017-05-04 00:00:00,0.4,0.39,2017-08-03 12:30:00,0.53,0.5,2017-11-02 00:00:00,0.61,0.63,2018-02-22 13:30:00,0.44,0.45,2018-05-03 00:00:00,0.32,0.4,2018-08-02 00:00:00,0.6,0.59,2018-11-01 00:00:00,0.96,0.88
PXD,2017-02-07 21:00:00,0.33,0.49,2017-05-03 20:00:00,0.16,0.25,2017-08-01 20:00:00,0.1,0.21,2017-11-01 20:00:00,0.3,0.48,2018-02-06 21:00:00,0.8,1.22,2018-05-02 00:00:00,1.49,1.66,2018-08-07 00:00:00,1.49,1.41,2018-11-06 00:00:00,1.68,2.07
PYPL,2017-01-26 00:00:00,0.42,0.42,2017-04-26 15:30:00,0.41,0.44,2017-07-26 15:30:00,0.43,0.46,2017-10-19 15:30:00,0.43,0.46,2018-01-31 16:30:00,0.52,0.55,2018-04-25 00:00:00,0.54,0.57,2018-07-25 00:00:00,0.57,0.58,2018-10-18 00:00:00,0.54,0.58
QCOM,2017-01-25 00:00:00,1.18,1.19,2017-04-19 20:00:00,1.2,1.34,2017-07-19 20:00:00,0.81,0.83,2017-11-01 20:00:00,0.81,0.92,2018-01-31 21:00:00,0.91,0.98,2018-04-25 00:00:00,0.68,0.8,2018-07-25 00:00:00,0.71,1.01,2018-11-07 00:00:00,0.83,0.9
QRVO,2017-02-01 16:00:00,1.26,1.35,2017-05-03 20:00:00,0.81,0.85,2017-08-02 20:00:00,0.8,0.87,2017-11-01 20:00:00,1.44,1.52,2018-01-31 21:00:00,1.6,1.69,2018-05-02 00:00:00,1.05,1.07,2018-08-01 00:00:00,0.76,0.96,2018-10-31 00:00:00,1.62,1.75
RCL,2017-01-26 00:00:00,1.21,1.23,2017-04-28 12:30:00,0.92,0.99,2017-08-01 12:30:00,1.67,1.71,2017-11-07 13:30:00,3.4,3.49,2018-01-24 13:30:00,1.2,1.34,2018-04-26 00:00:00,0.97,1.09,2018-08-02 00:00:00,2.01,2.27,2018-10-25 00:00:00,3.97,3.98
RE,2017-02-06 21:00:00,3.56,8.83,2017-04-24 20:00:00,5.26,6.29,2017-07-24 20:00:00,5.24,5.51,2017-10-30 20:00:00,-15.99,-16.43,2018-02-05 21:00:00,5.17,13.48,2018-04-25 00:00:00,5.4,5.34,2018-07-30 00:00:00,0.97,0.98,2018-10-29 00:00:00,3.18,4.09
REG,2017-02-08 00:00:00,0.35,0.53,2017-05-09 00:00:00,0.01,-0.26,2017-08-03 00:00:00,0.4,0.28,2017-11-01 00:00:00,0.31,0.35,2018-02-08 21:00:00,0.33,0.5,2018-04-30 00:00:00,0.36,0.31,2018-08-02 00:00:00,0.34,0.28,2018-10-25 00:00:00,0.38,0.41
REGN,2017-02-09 13:30:00,3.03,3.04,2017-05-04 12:30:00,3.06,2.92,2017-08-03 12:30:00,3.17,4.17,2017-11-08 13:30:00,3.85,3.99,2018-02-08 13:30:00,4.53,5.23,2018-05-03 00:00:00,4.35,4.67,2018-08-02 00:00:00,4.7,5.45,2018-11-06 00:00:00,5.13,5.87
RF,2017-01-20 00:00:00,0.23,0.23,2017-04-18 12:30:00,0.22,0.23,2017-07-21 12:30:00,0.24,0.25,2017-10-24 12:30:00,0.25,0.25,2018-01-19 13:30:00,0.26,0.36,2018-04-20 00:00:00,0.31,0.35,2018-07-20 00:00:00,0.33,0.32,2018-10-23 00:00:00,0.36,0.5
RHI,2017-01-26 00:00:00,0.64,0.61,2017-04-20 20:00:00,0.58,0.62,2017-07-25 20:00:00,0.66,0.64,2017-10-24 20:00:00,0.7,0.68,2018-01-30 21:00:00,0.51,0.65,2018-04-24 00:00:00,0.74,0.8,2018-07-24 00:00:00,0.85,0.89,2018-10-23 00:00:00,0.91,0.95
RJF,2017-01-25 00:00:00,1.01,1.07,2017-04-26 20:00:00,1.14,1.28,2017-07-26 20:00:00,1.27,1.26,2017-10-25 20:00:00,1.32,1.47,2018-01-24 21:00:00,1.25,1.61,2018-04-25 00:00:00,1.63,1.63,2018-07-25 00:00:00,1.72,1.55,2018-10-24 00:00:00,1.82,1.68
RL,2017-02-02 13:30:00,1.64,1.86,2017-05-18 12:30:00,0.78,0.89,2017-08-08 12:30:00,0.94,1.11,2017-11-02 12:30:00,1.89,1.99,2018-02-01 13:30:00,1.87,2.03,2018-05-23 00:00:00,0.83,0.9,2018-07-31 00:00:00,1.36,1.54,2018-11-06 00:00:00,2.16,2.26
RMD,2017-04-27 23:00:00,0.71,0.71,2017-08-01 16:00:00,0.75,0.77,2017-10-26 23:00:00,0.66,0.66,2018-01-22 00:00:00,0.78,1,2018-01-23 00:00:00,0.78,1,2018-04-26 00:00:00,0.85,0.92,2018-08-02 00:00:00,0.95,0.95,2018-10-25 00:00:00,0.79,0.81
ROK,2017-01-25 00:00:00,1.45,1.75,2017-04-26 12:30:00,1.39,1.55,2017-07-26 12:30:00,1.64,1.76,2017-11-08 13:30:00,1.73,1.69,2018-01-24 13:30:00,1.74,1.96,2018-04-25 00:00:00,1.82,1.89,2018-07-25 00:00:00,2.04,2.16,2018-11-07 00:00:00,2.02,2.11
ROL,2017-01-25 00:00:00,0.11,0.11,2017-04-26 12:30:00,0.17,0.17,2017-07-26 12:30:00,0.25,0.25,2017-10-25 12:30:00,0.25,0.24,2018-01-24 13:30:00,0.2,0.21,2018-04-25 00:00:00,0.15,0.15,2018-07-25 00:00:00,0.21,0.2,2018-10-24 00:00:00,0.2,0.21
ROP,2017-02-09 13:30:00,1.84,1.86,2017-04-28 12:30:00,1.99,2.11,2017-07-31 12:30:00,2.22,2.24,2017-10-30 12:30:00,2.3,2.36,2018-02-02 13:30:00,2.61,2.7,2018-04-20 00:00:00,2.5,2.61,2018-07-26 00:00:00,2.7,2.89,2018-10-26 00:00:00,2.94,3.09
ROST,2017-02-28 21:00:00,0.75,0.77,2017-05-18 20:00:00,0.8,0.82,2017-08-17 20:00:00,0.77,0.82,2017-11-16 21:00:00,0.67,0.72,2018-03-06 21:00:00,0.93,0.98,2018-05-24 00:00:00,1.07,1.11,2018-08-23 00:00:00,1.01,1.04,2018-11-20 00:00:00,0.9,0.91
RSG,2017-02-16 21:00:00,0.55,0.57,2017-04-27 20:00:00,0.53,0.55,2017-07-27 20:00:00,0.6,0.61,2017-11-02 20:00:00,0.63,0.67,2018-02-08 21:00:00,0.57,0.61,2018-05-02 00:00:00,0.68,0.74,2018-07-26 00:00:00,0.75,0.73,2018-10-25 00:00:00,0.81,0.82
RTN,2017-01-26 00:00:00,1.87,1.84,2017-04-27 07:00:00,1.61,1.74,2017-07-27 07:00:00,1.76,1.89,2017-10-26 12:30:00,1.91,1.97,2018-01-25 13:30:00,2.02,2.03,2018-04-26 00:00:00,2.11,2.19,2018-07-26 00:00:00,2.35,2.78,2018-10-25 00:00:00,1.98,2.25
SBAC,2017-02-27 00:00:00,0.1,0.04,2017-05-01 00:00:00,0.2,0.31,2017-07-31 00:00:00,0.2,0.08,2017-10-30 00:00:00,0.25,0.41,2018-02-26 21:00:00,0.18,0.06,2018-04-30 00:00:00,0.2,0.27,2018-07-30 00:00:00,0.18,-0.5,2018-11-05 00:00:00,0.25,0.14
SBUX,2017-01-26 00:00:00,0.52,0.52,2017-04-27 23:00:00,0.45,0.45,2017-07-27 20:00:00,0.55,0.55,2017-11-02 20:00:00,0.55,0.55,2018-01-25 21:00:00,0.57,0.65,2018-04-26 00:00:00,0.53,0.53,2018-07-26 00:00:00,0.61,0.62,2018-11-01 00:00:00,0.6,0.62
SCHW,2017-01-18 00:00:00,0.36,0.36,2017-04-18 00:00:00,0.37,0.39,2017-07-18 12:30:00,0.39,0.39,2017-10-16 12:30:00,0.41,0.42,2018-01-17 13:30:00,0.41,0.44,2018-04-16 00:00:00,0.54,0.55,2018-07-17 00:00:00,0.58,0.6,2018-10-15 00:00:00,0.65,0.65
SEE,2017-02-09 13:30:00,0.74,0.76,2017-05-09 12:30:00,0.47,0.43,2017-08-08 12:30:00,0.36,0.35,2017-11-08 13:30:00,0.47,0.46,2018-02-08 13:30:00,0.57,0.58,2018-05-03 00:00:00,0.51,0.51,2018-08-02 00:00:00,0.58,0.64,2018-11-01 00:00:00,0.6,0.61
SHW,2017-01-26 00:00:00,2.21,2.42,2017-04-20 12:30:00,2.08,2.61,2017-07-20 12:30:00,4.57,4.52,2017-10-24 12:30:00,4.65,4.75,2018-01-25 13:30:00,3.11,3.16,2018-04-24 00:00:00,3.13,3.57,2018-07-24 00:00:00,5.66,5.73,2018-10-25 00:00:00,5.74,5.68
SIVB,2017-01-26 00:00:00,1.79,1.89,2017-04-27 20:00:00,1.87,1.91,2017-07-27 20:00:00,2.04,2.32,2017-10-26 20:00:00,2.29,2.79,2018-01-25 21:00:00,2.57,2.97,2018-04-26 00:00:00,3.14,3.63,2018-07-26 00:00:00,3.9,4.42,2018-10-25 00:00:00,4.49,5.1
SJM,2017-02-17 13:30:00,2,2,2017-06-08 12:30:00,1.72,1.8,2017-08-24 12:30:00,1.62,1.51,2017-11-16 13:30:00,1.9,2.02,2018-02-16 13:30:00,2.14,2.5,2018-06-07 00:00:00,2.18,2.03,2018-08-21 00:00:00,1.76,1.78,2018-11-28 00:00:00,2.34,2.17
SLB,2017-01-20 00:00:00,0.27,0.27,2017-04-21 12:30:00,0.25,0.25,2017-07-21 07:00:00,0.3,0.35,2017-10-20 12:30:00,0.42,0.42,2018-01-19 13:30:00,0.44,0.48,2018-04-20 00:00:00,0.37,0.38,2018-07-20 00:00:00,0.43,0.43,2018-10-19 00:00:00,0.45,0.46
SLG,2017-01-25 00:00:00,0.24,0.44,2017-04-19 20:00:00,0.32,0.11,2017-07-19 20:00:00,0.55,0.08,2017-10-18 20:00:00,-0.04,0.4,2018-01-24 21:00:00,0.41,0.3,2018-04-18 00:00:00,0.46,1.12,2018-07-18 00:00:00,0.4,1.19,2018-10-17 00:00:00,0.39,1.03
SNA,2017-02-02 00:00:00,2.41,2.47,2017-04-20 00:00:00,2.36,2.39,2017-07-20 00:00:00,2.55,2.6,2017-10-19 00:00:00,2.42,2.45,2018-02-08 00:00:00,2.66,2.69,2018-04-19 00:00:00,2.72,2.79,2018-07-19 00:00:00,2.95,3.11,2018-10-18 00:00:00,2.86,2.88
SNPS,2017-02-15 21:00:00,0.78,0.94,2017-05-17 20:00:00,0.86,0.88,2017-08-16 20:00:00,0.92,0.92,2017-11-29 21:00:00,0.57,0.69,2018-02-21 21:00:00,1,1.1,2018-05-23 00:00:00,1.08,1.08,2018-08-22 00:00:00,0.92,0.95,2018-12-05 00:00:00,0.78,0.78
SO,2017-02-22 07:30:00,0.33,0.24,2017-05-03 07:30:00,0.6,0.66,2017-08-02 07:30:00,0.71,0.73,2017-11-01 12:30:00,1.07,1.12,2018-02-21 07:30:00,0.46,0.51,2018-05-02 00:00:00,0.83,0.88,2018-08-08 00:00:00,0.69,0.8,2018-11-07 00:00:00,1.07,1.14
SPG,2017-08-01 12:30:00,1.24,1.23,2017-10-27 12:30:00,1.63,1.65,2018-01-31 13:30:00,1.77,1.84,2018-04-27 00:00:00,1.52,2,2018-07-30 00:00:00,1.64,1.77,2018-09-10 00:00:00,,,2018-10-25 00:00:00,1.73,1.8,2018-11-13 00:00:00,,
SPGI,2017-02-07 13:30:00,1.19,1.28,2017-04-25 12:30:00,1.39,1.62,2017-07-27 12:30:00,1.58,1.72,2017-10-26 12:30:00,1.54,1.71,2018-02-06 13:30:00,1.61,1.85,2018-04-26 00:00:00,1.97,2,2018-07-26 00:00:00,2.13,2.17,2018-10-25 00:00:00,2.04,2.11
SRE,2017-02-28 08:30:00,1.49,1.52,2017-05-09 08:30:00,1.67,1.74,2017-08-04 08:30:00,0.86,1.1,2017-10-30 07:00:00,1.05,1.04,2018-02-27 07:00:00,1.41,1.54,2018-05-07 00:00:00,1.62,1.43,2018-08-06 00:00:00,1.19,1.35,2018-11-07 00:00:00,1.13,1.23
STI,2017-01-20 00:00:00,0.88,0.9,2017-04-21 12:30:00,0.84,0.91,2017-07-21 12:30:00,0.99,1.03,2017-10-20 12:30:00,1.05,1.06,2018-01-19 13:30:00,1.05,1.09,2018-04-20 00:00:00,1.11,1.29,2018-07-20 00:00:00,1.31,1.49,2018-10-19 00:00:00,1.39,1.56
STT,2017-01-25 00:00:00,1.32,1.35,2017-04-26 12:30:00,1.1,1.21,2017-07-26 12:30:00,1.57,1.67,2017-10-23 12:30:00,0,-0.01,2018-01-23 13:30:00,1.7,1.83,2018-04-20 00:00:00,1.59,1.62,2018-07-20 00:00:00,2.01,2.05,2018-10-19 00:00:00,1.89,1.87
STX,2017-04-26 12:30:00,1.07,1.1,2017-07-25 12:30:00,0.98,0.65,2017-10-23 12:30:00,0.86,0.96,2018-01-08 21:00:00,1.35,1.48,2018-01-29 13:30:00,1.35,1.48,2018-05-01 00:00:00,1.33,1.46,2018-07-30 00:00:00,1.45,1.62,2018-11-02 00:00:00,1.55,1.7
STZ,2017-01-05 00:00:00,1.72,1.96,2017-04-06 12:30:00,1.36,1.48,2017-06-29 12:30:00,1.98,2.34,2017-10-05 12:30:00,2.17,2.47,2018-01-05 13:30:00,1.89,2,2018-03-29 00:00:00,1.75,1.9,2018-06-29 00:00:00,2.43,2.2,2018-10-04 00:00:00,2.6,2.87
SWK,2017-01-26 00:00:00,1.68,1.71,2017-04-21 12:30:00,1.19,1.29,2017-07-24 12:30:00,1.97,2.01,2017-10-24 12:30:00,1.87,1.95,2018-01-24 13:30:00,2.14,2.18,2018-04-20 00:00:00,1.35,1.39,2018-07-20 00:00:00,2.02,2.57,2018-10-25 00:00:00,2.04,2.08
SWKS,2017-01-19 00:00:00,1.58,1.61,2017-04-27 20:00:00,1.4,1.45,2017-07-20 20:00:00,1.52,1.57,2017-11-06 21:00:00,1.75,1.82,2018-02-05 21:00:00,1.92,2,2018-05-03 00:00:00,1.6,1.64,2018-07-19 00:00:00,1.6,1.64,2018-11-08 00:00:00,1.92,1.94
SYF,2017-01-20 00:00:00,0.67,0.7,2017-04-28 12:30:00,0.73,0.61,2017-07-21 12:30:00,0.57,0.61,2017-10-20 12:30:00,0.64,0.7,2018-01-19 13:30:00,0.63,0.7,2018-04-20 00:00:00,0.75,0.83,2018-07-27 00:00:00,0.82,0.92,2018-10-19 00:00:00,0.8,0.91
SYK,2017-04-25 00:00:00,1.43,1.48,2017-07-27 16:00:00,1.51,1.53,2017-10-26 16:00:00,1.5,1.52,2018-01-09 16:00:00,1.95,1.96,2018-01-30 21:00:00,1.95,1.96,2018-04-26 00:00:00,1.6,1.68,2018-07-24 00:00:00,1.73,1.76,2018-10-25 00:00:00,1.68,1.69
SYY,2017-02-06 13:30:00,0.54,0.58,2017-05-08 12:30:00,0.52,0.51,2017-08-14 12:30:00,0.72,0.72,2017-11-06 00:00:00,0.72,0.74,2018-02-05 10:59:00,0.65,0.66,2018-05-07 00:00:00,0.63,0.67,2018-08-13 00:00:00,0.93,0.94,2018-11-05 00:00:00,0.92,0.91
T,2017-01-25 00:00:00,0.66,0.66,2017-04-25 20:00:00,0.74,0.74,2017-07-25 00:00:00,0.73,0.79,2017-10-24 20:00:00,0.75,0.74,2018-01-31 21:00:00,0.65,0.78,2018-04-25 00:00:00,0.87,0.85,2018-07-24 00:00:00,0.85,0.91,2018-10-24 00:00:00,0.94,0.9
TAP,2017-02-14 13:30:00,0.86,0.46,2017-05-03 12:30:00,1.3,0.76,2017-08-02 12:30:00,2.13,1.66,2017-11-01 12:30:00,1.34,1.34,2018-02-14 13:30:00,0.56,0.62,2018-05-02 00:00:00,0.78,0.48,2018-08-01 00:00:00,1.83,1.88,2018-10-31 00:00:00,1.59,1.84
TDG,2017-02-07 13:30:00,2.49,2.57,2017-05-09 12:30:00,3.01,3.02,2017-08-08 12:30:00,3.16,3.3,2017-11-09 13:30:00,3.41,3.48,2018-02-06 13:30:00,2.79,5.58,2018-05-01 00:00:00,3.66,3.79,2018-08-07 00:00:00,4.07,4.01,2018-11-06 00:00:00,4.3,4.44
TEL,2017-01-25 00:00:00,1,1.15,2017-04-26 12:30:00,1.08,1.19,2017-07-26 12:30:00,1.17,1.24,2017-11-01 12:30:00,1.16,1.25,2018-01-24 13:30:00,1.25,1.4,2018-04-25 00:00:00,1.36,1.42,2018-07-25 00:00:00,1.37,1.43,2018-10-31 00:00:00,1.33,1.35
TFX,2017-02-23 13:30:00,2.09,2.13,2017-05-04 12:30:00,1.69,1.8,2017-08-03 12:30:00,1.91,2.04,2017-11-02 12:30:00,2,2.12,2018-02-22 13:30:00,2.4,2.44,2018-05-03 00:00:00,1.94,2.15,2018-08-02 00:00:00,2.41,2.47,2018-11-01 00:00:00,2.42,2.52
TGT,2017-02-28 13:30:00,1.51,1.45,2017-05-17 12:30:00,0.91,1.21,2017-08-16 12:30:00,1.19,1.23,2017-11-15 13:30:00,0.86,0.91,2018-03-06 13:30:00,1.38,1.37,2018-05-23 00:00:00,1.39,1.32,2018-08-22 00:00:00,1.4,1.47,2018-11-20 00:00:00,1.12,1.09
TIF,2017-03-17 12:30:00,1.38,1.45,2017-05-24 12:30:00,0.7,0.74,2017-08-24 12:30:00,0.86,0.92,2017-11-29 13:30:00,0.76,0.8,2018-03-16 12:30:00,1.64,1.67,2018-05-23 00:00:00,0.83,1.14,2018-08-28 00:00:00,1.01,1.17,2018-11-28 00:00:00,0.77,0.77
TJX,2017-02-22 13:30:00,1,1.03,2017-05-16 00:00:00,0.4,0.41,2017-08-15 00:00:00,0.42,0.43,2017-11-14 13:30:00,1,1,2018-02-28 13:30:00,1.27,1.3,2018-05-22 00:00:00,0.51,0.56,2018-08-21 00:00:00,0.53,0.59,2018-11-20 00:00:00,0.61,0.61
TMO,2017-01-31 00:00:00,2.38,2.41,2017-04-26 12:30:00,2.02,2.08,2017-07-26 12:30:00,2.27,2.3,2017-10-25 12:30:00,2.25,2.31,2018-01-31 13:30:00,2.66,2.79,2018-04-25 00:00:00,2.4,2.5,2018-07-25 00:00:00,2.62,2.75,2018-10-24 00:00:00,2.55,2.62
TPR,2017-01-31 00:00:00,0.74,0.75,2017-05-02 00:00:00,0.44,0.46,2017-08-15 00:00:00,0.49,0.5,2017-11-07 00:00:00,0.36,0.42,2018-02-06 13:30:00,0.89,1.07,2018-05-01 00:00:00,0.5,0.54,2018-08-14 00:00:00,0.57,0.6,2018-10-30 00:00:00,0.45,0.48
TRIP,2017-02-15 21:00:00,0.31,0.16,2017-05-09 20:00:00,0.26,0.24,2017-08-08 20:00:00,0.3,0.38,2017-11-06 21:00:00,0.35,0.36,2018-02-14 21:00:00,0.14,0.06,2018-05-08 00:00:00,0.16,0.3,2018-08-01 00:00:00,0.4,0.41,2018-11-07 00:00:00,0.48,0.72
TROW,2017-01-26 00:00:00,1.43,1.5,2017-04-25 00:00:00,1.2,1.54,2017-07-25 12:30:00,1.3,1.5,2017-10-26 12:30:00,1.44,1.56,2018-01-30 13:30:00,1.47,1.65,2018-04-25 00:00:00,1.72,1.77,2018-07-25 00:00:00,1.8,1.77,2018-10-25 00:00:00,1.93,2.3
TRV,2017-01-24 00:00:00,2.73,3.2,2017-04-20 12:30:00,2.37,2.16,2017-07-20 12:30:00,2.1,1.92,2017-10-19 12:30:00,0.45,0.91,2018-01-23 13:30:00,1.51,2.28,2018-04-24 00:00:00,2.68,2.46,2018-07-19 00:00:00,2.42,1.81,2018-10-18 00:00:00,2.26,2.54
TSCO,2017-02-01 21:00:00,0.92,0.94,2017-04-26 20:00:00,0.46,0.46,2017-07-26 20:00:00,1.27,1.25,2017-10-25 20:00:00,0.68,0.72,2018-01-31 21:00:00,0.87,0.91,2018-04-26 00:00:00,0.57,0.57,2018-07-26 00:00:00,1.61,1.69,2018-10-25 00:00:00,0.87,0.95
TSN,2017-02-06 13:30:00,1.26,1.59,2017-05-08 12:30:00,1.02,1.01,2017-08-07 12:30:00,1.18,1.28,2017-11-13 13:30:00,1.38,1.43,2018-02-08 13:30:00,1.5,1.81,2018-05-07 00:00:00,1.31,1.27,2018-08-06 00:00:00,1.4,1.5,2018-11-13 00:00:00,1.35,1.58
TTWO,2017-02-07 21:00:00,0.96,0.99,2017-05-23 12:30:00,0.57,0.68,2017-08-02 20:00:00,0.19,0.41,2017-11-07 21:00:00,0.74,1.09,2018-02-07 21:00:00,0.98,1.12,2018-05-16 00:00:00,0.63,0.7,2018-08-02 00:00:00,0.06,0.12,2018-11-07 00:00:00,0.92,1.05
TWTR,2017-02-09 13:30:00,0.12,0.16,2017-04-26 12:30:00,0.01,0.11,2017-07-27 12:30:00,0.05,0.08,2017-10-26 12:30:00,0.07,0.1,2018-02-08 13:30:00,0.14,0.19,2018-04-25 00:00:00,0.12,0.16,2018-07-27 00:00:00,0.17,0.17,2018-10-25 00:00:00,0.14,0.21
TXN,2017-01-24 00:00:00,0.82,0.87,2017-04-25 20:00:00,0.83,0.97,2017-07-25 20:00:00,0.96,1.03,2017-10-24 20:00:00,1.12,1.26,2018-01-23 21:00:00,1.09,1.09,2018-04-24 00:00:00,1.11,1.35,2018-07-24 00:00:00,1.32,1.4,2018-10-23 00:00:00,1.53,1.58
TXT,2017-01-25 00:00:00,0.87,0.8,2017-04-19 12:30:00,0.45,0.46,2017-07-19 12:30:00,0.55,0.6,2017-10-19 12:30:00,0.62,0.65,2018-01-31 13:30:00,0.77,0.74,2018-04-18 00:00:00,0.48,0.72,2018-07-18 00:00:00,0.7,0.87,2018-10-18 00:00:00,0.76,0.61
UA,2017-01-31 00:00:00,0.25,0.23,2017-04-27 06:55:00,-0.04,-0.01,2017-08-01 06:55:00,-0.07,-0.03,2017-10-31 06:55:00,0.19,0.22,2018-02-13 13:30:00,0,0,2018-05-01 06:55:03,-0.05,0,2018-07-26 06:55:00,-0.08,,2018-10-31 00:00:00,0.13,0.25
UAA,2017-01-31 00:00:00,0.25,0.23,2017-04-27 00:00:00,-0.04,-0.01,2017-08-01 00:00:00,-0.06,-0.03,2017-10-31 00:00:00,0.19,0.22,2018-02-13 13:30:00,0,0,2018-05-01 00:00:00,-0.05,0,2018-07-26 00:00:00,-0.08,-0.08,2018-10-30 00:00:00,0.12,0.25
UAL,2017-01-17 00:00:00,1.73,1.78,2017-04-17 20:00:00,0.38,0.41,2017-07-18 20:00:00,2.67,2.75,2017-10-18 20:00:00,2.16,2.22,2018-01-23 21:00:00,1.34,1.4,2018-04-17 00:00:00,0.44,0.5,2018-07-17 00:00:00,3.07,3.23,2018-10-16 00:00:00,3.07,3.06
UDR,2017-01-30 00:00:00,0.1,0.88,2017-04-24 20:00:00,0.06,0.09,2017-07-26 20:00:00,0.06,0.03,2017-10-30 20:00:00,0.07,0.06,2018-02-06 21:00:00,0.09,0.25,2018-04-25 00:00:00,0.05,0.3,2018-07-30 00:00:00,0.05,0.07,2018-10-29 00:00:00,0.07,0.07
UHS,2017-02-28 21:00:00,1.81,1.8,2017-04-25 00:00:00,2.06,2.1,2017-07-25 20:00:00,2.06,1.94,2017-10-25 20:00:00,1.68,1.49,2018-02-28 21:00:00,1.84,2,2018-04-25 00:00:00,2.59,2.45,2018-07-25 00:00:00,2.39,2.47,2018-10-25 00:00:00,2.01,2.23
ULTA,2017-03-09 00:00:00,2.13,2.24,2017-05-25 00:00:00,1.8,2.05,2017-08-24 00:00:00,1.78,1.83,2017-11-30 00:00:00,1.67,1.7,2018-03-15 10:59:00,2.78,2.75,2018-05-31 00:00:00,2.48,2.7,2018-08-30 00:00:00,2.41,2.46,2018-12-06 00:00:00,2.16,2.18
UNH,2017-01-17 00:00:00,2.07,2.11,2017-04-18 12:30:00,2.17,2.37,2017-07-18 00:00:00,2.38,2.46,2017-10-17 12:30:00,2.56,2.66,2018-01-16 13:30:00,2.52,2.59,2018-04-17 00:00:00,2.89,3.04,2018-07-17 00:00:00,3.04,3.14,2018-10-16 00:00:00,3.29,3.41
UNM,2017-02-01 16:15:00,0.98,1,2017-04-26 20:00:00,0.98,1.02,2017-07-27 20:00:00,1.01,1.05,2017-10-25 20:00:00,1.04,1.09,2018-01-31 21:00:00,1.07,1.13,2018-05-01 00:00:00,1.25,1.24,2018-07-30 00:00:00,1.26,1.3,2018-10-24 00:00:00,1.29,1.37
UNP,2017-01-19 00:00:00,1.33,1.39,2017-04-27 12:30:00,1.23,1.32,2017-07-20 12:30:00,1.39,1.45,2017-10-26 12:30:00,1.49,1.5,2018-01-25 13:30:00,1.54,1.53,2018-04-26 00:00:00,1.66,1.68,2018-07-19 00:00:00,1.95,1.98,2018-10-25 00:00:00,2.1,2.15
UPS,2017-01-31 00:00:00,1.69,1.63,2017-04-27 12:30:00,1.29,1.32,2017-07-27 12:30:00,1.47,1.58,2017-10-26 12:30:00,1.45,1.45,2018-02-01 13:30:00,1.66,1.67,2018-04-26 00:00:00,1.54,1.55,2018-07-25 00:00:00,1.93,1.94,2018-10-24 00:00:00,1.82,1.82
URI,2017-01-25 00:00:00,2.24,2.67,2017-04-19 20:00:00,1.52,1.63,2017-07-19 20:00:00,2.29,2.37,2017-10-18 20:00:00,2.98,3.25,2018-01-24 21:00:00,3.28,3.34,2018-04-18 00:00:00,2.45,2.87,2018-07-18 00:00:00,3.45,3.85,2018-10-17 00:00:00,4.61,4.74
USB,2017-01-18 00:00:00,0.81,0.82,2017-04-19 12:30:00,0.8,0.82,2017-07-19 12:30:00,0.84,0.85,2017-10-18 12:30:00,0.88,0.88,2018-01-17 13:30:00,0.87,0.88,2018-04-18 00:00:00,0.95,0.96,2018-07-18 00:00:00,1,1.02,2018-10-17 00:00:00,1.05,1.06
UTX,2017-01-25 00:00:00,1.56,1.56,2017-04-26 12:30:00,1.39,1.48,2017-07-25 12:30:00,1.78,1.85,2017-10-24 12:30:00,1.68,1.73,2018-01-24 13:30:00,1.56,1.6,2018-04-24 00:00:00,1.52,1.77,2018-07-24 00:00:00,1.85,1.97,2018-10-23 00:00:00,1.82,1.93
