Stock,Q1 2017 date,Q1 2017 Est,Q1 2017 Act,Q2 2017 date,Q2 2017 Est,Q2 2017 Act,Q3 2017 date,Q3 2017 Est,Q3 2017 Act,Q4 2017 date,Q4 2017 Est,Q4 2017 Act,Q1 2018 date,Q1 2018 Est,Q1 2018 Act,Q2 2018 date,Q2 2018 Est,Q2 2018 Act,Q3 2018 date,Q3 2018 Est,Q3 2018 Act,Q4 2018 date,Q4 2018 Est,Q4 2018 Act
MYL,2017-03-01 13:30:00,1.42,1.57,2017-05-10 12:30:00,0.92,0.93,2017-08-09 12:30:00,1.16,1.1,2017-11-06 13:30:00,1.2,1.1,2018-02-28 21:00:00,1.41,1.43,2018-05-09 00:00:00,0.96,0.96,2018-08-08 00:00:00,1.22,1.07,2018-11-05 00:00:00,1.19,1.25
NBL,2017-02-13 21:00:00,-0.1,0.26,2017-05-01 20:00:00,-0.14,-0.05,2017-08-03 12:30:00,-0.14,0.05,2017-10-30 20:00:00,-0.13,-0.02,2018-02-20 13:30:00,0.04,0.32,2018-05-01 00:00:00,0.25,0.35,2018-08-03 00:00:00,0.22,0.17,2018-11-01 00:00:00,0.18,0.27
NCLH,2017-02-22 07:00:00,0.55,0.56,2017-05-10 07:00:00,0.37,0.4,2017-08-08 07:00:00,0.97,1.02,2017-11-09 07:00:00,1.82,1.86,2018-02-22 07:00:00,0.64,0.68,2018-05-02 00:00:00,0.54,0.6,2018-08-09 00:00:00,1.02,1.21,2018-11-08 00:00:00,2.21,2.27
NDAQ,2017-01-31 00:00:00,0.95,0.95,2017-04-26 12:30:00,1.06,1.1,2017-07-26 12:30:00,0.96,1.02,2017-10-25 12:30:00,1.02,1.06,2018-01-31 13:30:00,1,1.05,2018-04-25 00:00:00,1.2,1.24,2018-07-25 00:00:00,1.17,1.18,2018-10-24 00:00:00,1.14,1.15
NEE,2017-01-27 00:00:00,1.3,1.21,2017-04-21 12:30:00,1.56,1.75,2017-07-26 12:30:00,1.76,1.86,2017-10-26 12:30:00,1.77,1.85,2018-01-26 13:30:00,1.31,1.25,2018-04-24 00:00:00,1.84,1.94,2018-07-25 00:00:00,2.06,2.11,2018-10-23 00:00:00,2.15,2.18
NEM,2017-02-21 21:00:00,0.33,0.25,2017-04-24 20:00:00,0.22,0.25,2017-07-25 12:30:00,0.26,0.46,2017-10-26 12:30:00,0.33,0.35,2018-02-22 13:30:00,0.38,0.4,2018-04-26 00:00:00,0.33,0.35,2018-07-26 00:00:00,0.24,0.26,2018-10-25 00:00:00,0.2,0.33
NFLX,2017-01-18 00:00:00,0.13,0.15,2017-04-17 20:00:00,0.37,0.4,2017-07-17 20:00:00,0.15,0.15,2017-10-16 20:00:00,0.32,0.29,2018-01-22 16:05:00,0.41,0.41,2018-04-16 00:00:00,0.64,0.64,2018-07-16 00:00:00,0.79,0.85,2018-10-16 00:00:00,0.68,0.89
NI,2017-02-22 13:30:00,0.34,0.33,2017-05-03 12:30:00,0.67,0.71,2017-08-02 12:30:00,0.1,0.1,2017-11-01 12:30:00,0.07,0.07,2018-02-20 13:30:00,0.32,0.33,2018-05-02 00:00:00,0.76,0.77,2018-08-01 00:00:00,0.09,0.07,2018-11-01 00:00:00,0.06,0.1
NKE,2017-09-26 23:00:00,0.48,0.57,2017-12-21 00:00:00,0.4,0.46,2017-12-22 00:00:00,0.4,0.46,2018-03-22 16:15:00,0.53,0.68,2018-06-27 23:00:00,0.64,0.69,2018-06-28 00:00:00,0.64,0.69,2018-09-25 00:00:00,0.63,0.67,2018-12-20 00:00:00,0.46,0.52
NKTR,2017-03-01 21:00:00,-0.26,-0.28,2017-05-09 20:00:00,-0.42,-0.42,2017-08-08 20:00:00,-0.37,-0.39,2017-11-07 21:00:00,0.18,0.37,2018-03-01 21:00:00,-0.35,-0.21,2018-05-10 00:00:00,-0.54,-0.6,2018-08-08 00:00:00,5.22,5.33,2018-11-07 00:00:00,-0.63,-0.56
NLSN,2017-02-09 13:30:00,0.79,0.62,2017-04-25 12:30:00,0.48,0.46,2017-07-27 12:30:00,0.67,0.65,2017-10-25 12:30:00,0.65,0.41,2018-02-08 13:30:00,0.74,0.23,2018-04-26 00:00:00,0.21,0.4,2018-07-26 00:00:00,0.37,0.47,2018-10-25 00:00:00,0.25,0.45
NOC,2017-01-26 00:00:00,2.49,2.96,2017-04-26 12:30:00,2.93,3.63,2017-07-26 12:30:00,2.87,3.15,2017-10-25 12:30:00,2.92,3.68,2018-01-25 13:30:00,2.74,2.82,2018-04-25 00:00:00,3.61,4.21,2018-07-25 00:00:00,3.84,3.93,2018-10-24 00:00:00,4.37,6.54
NOV,2017-02-07 13:30:00,-0.29,-0.15,2017-04-26 20:00:00,-0.21,-0.17,2017-07-27 20:00:00,-0.15,-0.14,2017-10-26 20:00:00,-0.08,-0.07,2018-02-05 21:00:00,-0.04,-0.04,2018-04-26 00:00:00,-0.05,-0.21,2018-07-26 00:00:00,0.02,0.06,2018-10-25 00:00:00,0.12,0
